,learning_rate,batch_size,l2_regularization,dropout_rate,momentum,weight_decay,accuracy
0,0.01,32,0.005,0.1,0.85,1e-05,0.8504436135292053
1,0.01,32,0.005,0.1,0.85,5e-05,0.845396876335144
2,0.01,32,0.005,0.1,0.85,0.0001,0.8484800696372986
3,0.01,32,0.005,0.1,0.85,0.0005,0.8501619219779968
4,0.01,32,0.005,0.1,0.88,1e-05,0.8597034096717835
5,0.01,32,0.005,0.1,0.88,5e-05,0.8515668153762818
6,0.01,32,0.005,0.1,0.88,0.0001,0.8563365817070008
7,0.01,32,0.005,0.1,0.88,0.0005,0.8532553553581238
8,0.01,32,0.005,0.1,0.9,1e-05,0.8476413249969482
9,0.01,32,0.005,0.1,0.9,5e-05,0.8580235242843628
10,0.01,32,0.005,0.1,0.9,0.0001,0.8524091124534607
11,0.01,32,0.005,0.1,0.9,0.0005,0.8532518029212952
